Grupa,Asistent,"Notă finală",Total,"Examen grilă final (maxim 10)","Total teste curs (maxim 10)","Test 1 (maxim 5)","Test 2 (maxim 5)","Test 3 (maxim 5)","Total teme (maxim 10)",Tema 0 (maxim 10),"Tema 1 (maxim 10)","Tema 2 (maxim 10)","Tema 3 (maxim 10)","Tema 4 (maxim 10)","Midterm practic (maxim 10)","Final practic (maxim 10)",Total laborator,Lab01,Lab02,Lab03,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Observații
311CA,SW,9.0,9.2575,5.71,10,4.0,4.0,5.0,9.92,10.0,10.0,8.5,10.0,,9.0,7.8,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,,7.0
311CA,SW,9.0,8.9375,6.75,10,4.0,4.0,4.0,10,10.0,10.0,12.0,10.0,,7.5,6.0,10,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
311CA,RB,9.0,9.3775,6.41,7.5,2.0,4.0,3.0,10,10.0,10.0,12.0,10.0,,6.5,10.3,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
311CA,RB,8.0,8.285,6.0,7.5,,4.0,5.0,10,10.0,10.0,12.0,10.0,,5.1,6.6,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
311CA,SW,8.0,7.53,5.54,7.5,3.0,4.0,2.0,5.28,10.0,10.0,4.0,,,9.0,7.2,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,6.0
311CA,SW,8.0,7.787,6.46,9.166666667,4.0,4.0,3.0,8.768,10.0,10.0,6.9,8.0,,4.3,4.7,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,7.0
311CA,RB,10.0,10.865,9.46,10,3.0,5.0,4.0,10,10.0,10.0,10.0,10.0,,10.0,"7,8",10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
311CA,SW,9.0,9.14,8.04,10,5.0,5.0,4.0,10,10.0,10.0,12.0,10.0,,6.3,6.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
311CA,SW,6.0,6.1175,3.25,7.5,3.0,4.0,2.0,7.2,10.0,10.0,10.0,,,4.8,3.6,10,10.0,9.0,10.0,8.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0
311CA,RB,7.0,7.4625,4.17,7.5,3.0,4.0,2.0,10,10.0,10.0,10.0,10.0,,2.8,7.3,6.9,10.0,10.0,10.0,10.0,10.0,10.0,9.0,,,,,
311CA,SW,9.0,8.8525,5.29,10,4.0,5.0,4.0,10,10.0,10.0,12.0,10.0,,7.3,7.2,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
311CA,RB,4.0,10.1825,9.79,10,4.0,5.0,3.0,7.84,10.0,10.0,12.0,10.0,-10.0,10.7,9.1,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
311CA,SW,10.0,9.565,8.46,10,5.0,5.0,5.0,10,10.0,10.0,10.0,10.0,,5.0,7.8,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.5,10.0,8.0
311CA,RB,10.0,10.675,9.3,10,4.0,5.0,3.0,10,10.0,10.0,12.0,10.0,,10.0,9.4,10,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
311CA,SW,9.0,8.575,4.08,10,4.0,4.0,4.0,10,10.0,10.0,10.0,10.0,,5.3,8.1,10,10.0,9.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,7.0,,9.0
311CA,RB,8.0,7.745,6.46,6.666666667,3.0,4.0,1.0,9.92,10.0,10.0,8.5,8.0,2.0,4.0,5.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
311CA,SW,9.0,8.975,6.5,10,3.0,5.0,5.0,10,10.0,10.0,12.0,10.0,,8.0,6.2,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0
311CA,RB,9.0,9.155,6.2,8.333333333,3.0,5.0,2.0,9.92,10.0,10.0,8.5,8.0,2.0,10.0,7.5,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
311CA,RB,6.0,6.371,3.12,6.666666667,2.0,4.0,2.0,7.584,10.0,10.0,0.0,8.7,2.5,3.7,5.3,10,10.0,8.0,9.0,7.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0
311CA,RB,6.0,6.291,3.8,5.833333333,1.0,4.0,2.0,7.424,10.0,10.0,0.0,8.7,2.0,4.1,4.8,10,10.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0
311CA,SW,10.0,10.4775,8.71,10,5.0,5.0,4.0,10,10.0,10.0,12.0,10.0,,8.0,"8,3",10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
311CA,RB,9.0,8.8275,7.55,6.666666667,3.0,5.0,,10,10.0,10.0,12.0,10.0,,6.4,7.2,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,
311CA,RB,9.0,9.1395,7.37,5.833333333,1.0,3.0,3.0,9.888,10.0,10.0,7.7,8.7,2.0,4.5,"7,7",10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0
311CA,RB,10.0,10.7175,9.79,10,3.0,5.0,5.0,10,10.0,10.0,12.0,10.0,,8.7,9.6,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
311CA,RB,9.0,8.7125,6.83,8.333333333,2.0,5.0,3.0,10,10.0,10.0,10.0,10.0,,7.3,6.1,10,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
